Start,End,weight
Ts,In1,100
In1,Sd,110
In1,S2,100
In1,In2,15
In1,Mj,30
In2,In3,75
In2,In4,80
In4,ML1,25
In3,ML1,20
In3,ML3,50
In4,S2,20
